,title,issue,year,metaChar,alias,publisher,keep,firstName,lastName
1904,The Flash,None,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
1905,The Flash,None,1987,Tar Pit,,DC,1,null,null
1906,The Flash,None,1987,The Top,Roscoe Dillon,DC,1,Roscoe,Dillon
1907,The Flash,None,1987,Trickster,James Jesse,DC,1,James,Jesse
1908,The Flash,None,1987,Trickster,Axel Walker,DC,1,Axel,Walker
1909,The Flash,None,1987,Weather Wizard,,DC,1,null,null
1910,The Flash,None,1987,Wheeler,,DC,1,null,null
1911,The Flash,None,1987,Ashley Zolomon,,DC,1,null,null
1912,The Flash,None,1987,Zoom,,DC,1,null,null
1913,The Flash,None,1987,Captain Boomerang,George Harkness,DC,1,George,Harkness
1914,The Flash,None,1987,Captain Boomerang,Owen Mercer,DC,1,Owen,Mercer
1915,The Flash,None,1987,Captain Cold,,DC,1,null,null
1916,The Flash,None,1987,Fred Chyre,,DC,1,null,null
1917,The Flash,None,1987,Doctor Alchemy,Albert Desmond,DC,1,Albert,Desmond
1918,The Flash,None,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
1919,The Flash,None,1987,Flash,Wally West,DC,1,Wally,West
1920,The Flash,None,1987,Joan Garrick,,DC,1,null,null
1921,The Flash,None,1987,Girder,,DC,1,null,null
1922,The Flash,None,1987,Gorilla Grodd,,DC,1,null,null
1923,The Flash,None,1987,Heatwave,,DC,1,null,null
1924,The Flash,None,1987,Kid Flash,Bart Allen,DC,1,Bart,Allen
1925,The Flash,None,1987,Mirror Master,Evan McCullough,DC,1,Evan,McCullough
1926,The Flash,None,1987,Jared Morillo,,DC,1,null,null
1927,The Flash,None,1987,Linda Jasmine Park-West,,DC,1,null,null
1928,The Flash,None,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
1929,The Flash,None,1987,Professor Zoom,,DC,1,null,null
1930,The Flash,None,1987,Tar Pit,,DC,1,null,null
1931,The Flash,None,1987,The Top,Roscoe Dillon,DC,1,Roscoe,Dillon
1932,The Flash,None,1987,Trickster,James Jesse,DC,1,James,Jesse
1933,The Flash,None,1987,Weather Wizard,,DC,1,null,null
1934,The Flash,None,1987,Iris Ann Russell West-Allen,,DC,1,null,null
1935,The Flash,None,1987,Iris Ann Russell West,,DC,1,null,null
1936,The Flash,None,1987,Wheeler,,DC,1,null,null
1937,The Flash,None,1987,Ashley Zolomon,,DC,1,null,null
1938,The Flash,None,1987,Zoom,,DC,1,null,null
1939,The Flash,None,1987,Captain Boomerang,George Harkness,DC,1,George,Harkness
1940,The Flash,None,1987,Captain Cold,,DC,1,null,null
1941,The Flash,None,1987,Doctor Alchemy,Albert Desmond,DC,1,Albert,Desmond
1942,The Flash,None,1987,Elongated Man,,DC,1,null,null
1943,The Flash,None,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
1944,The Flash,None,1987,Flash,Barry Allen,DC,1,Barry,Allen
1945,The Flash,None,1987,Flash,Wally West,DC,1,Wally,West
1946,The Flash,None,1987,Gorilla Grodd,,DC,1,null,null
1947,The Flash,None,1987,Heatwave,,DC,1,null,null
1948,The Flash,None,1987,Kid Flash,Bart Allen,DC,1,Bart,Allen
1949,The Flash,None,1987,Mirror Master,Evan McCullough,DC,1,Evan,McCullough
1950,The Flash,None,1987,Nightwing,Dick Grayson,DC,1,Dick,Grayson
1951,The Flash,None,1987,Linda Jasmine Park-West,,DC,1,null,null
1952,The Flash,None,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
1953,The Flash,None,1987,Professor Zoom,,DC,1,null,null
1954,The Flash,None,1987,Tar Pit,,DC,1,null,null
1955,The Flash,None,1987,Trickster,James Jesse,DC,1,James,Jesse
1956,The Flash,None,1987,Weather Wizard,,DC,1,null,null
1957,The Flash,None,1987,Wonder Girl,Donna Troy,DC,1,Donna,Troy
1958,The Flash,None,1987,Ashley Zolomon,,DC,1,null,null
1959,The Flash,None,1987,Zoom,,DC,1,null,null
1960,The Flash,None,1987,Batman,,DC,1,null,null
1961,The Flash,None,1987,Captain Boomerang,Owen Mercer,DC,1,Owen,Mercer
1962,The Flash,None,1987,Captain Cold,,DC,1,null,null
1963,The Flash,None,1987,Fred Chyre,,DC,1,null,null
1964,The Flash,None,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
1965,The Flash,None,1987,Flash,Barry Allen,DC,1,Barry,Allen
1966,The Flash,None,1987,Flash,Wally West,DC,1,Wally,West
1967,The Flash,None,1987,Joan Garrick,,DC,1,null,null
1968,The Flash,None,1987,Girder,,DC,1,null,null
1969,The Flash,None,1987,Gorilla Grodd,,DC,1,null,null
1970,The Flash,None,1987,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
1971,The Flash,None,1987,Hawkman,Katar Hol,DC,1,Katar,Hol
1972,The Flash,None,1987,Heatwave,,DC,1,null,null
1973,The Flash,None,1987,Kid Flash,Bart Allen,DC,1,Bart,Allen
1974,The Flash,None,1987,Martian Manhunter,,DC,1,null,null
1975,The Flash,None,1987,Mirror Master,Evan McCullough,DC,1,Evan,McCullough
1976,The Flash,None,1987,Jared Morillo,,DC,1,null,null
1977,The Flash,None,1987,Linda Jasmine Park-West,,DC,1,null,null
1978,The Flash,None,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
1979,The Flash,None,1987,Professor Zoom,,DC,1,null,null
1980,The Flash,None,1987,Superman,Clark Kent,DC,1,Clark,Kent
1981,The Flash,None,1987,Tar Pit,,DC,1,null,null
1982,The Flash,None,1987,The Top,Roscoe Dillon,DC,1,Roscoe,Dillon
1983,The Flash,None,1987,Trickster,Axel Walker,DC,1,Axel,Walker
1984,The Flash,None,1987,Weather Wizard,,DC,1,null,null
1985,The Flash,None,1987,Iris West,,DC,1,null,null
1986,The Flash,None,1987,Iris Ann Russell West-Allen,,DC,1,null,null
1987,The Flash,None,1987,Jai West,,DC,1,null,null
1988,The Flash,None,1987,Wheeler,,DC,1,null,null
1989,The Flash,None,1987,Reece Wheeler,,DC,1,null,null
1990,The Flash,None,1987,Ashley Zolomon,,DC,1,null,null
1991,The Flash,None,1987,Zoom,,DC,1,null,null
1992,Convergence Justice League International,2,2015,Blue Beetle,Ted Kord,DC,1,Ted,Kord
1993,Convergence Justice League International,2,2015,Blue Beetle,,DC,1,null,null
1994,Convergence Justice League International,2,2015,Captain Atom,,DC,1,null,null
1995,Convergence Justice League International,2,2015,Captain Marvel,Kingdom Come,DC,1,Kingdom,Come
1996,Convergence Justice League International,2,2015,Fire,,DC,1,null,null
1997,Convergence Justice League International,2,2015,Green Lantern,Jade,DC,1,,Jade
1998,Convergence Justice League International,2,2015,Huntress,Kingdom Come,DC,1,Kingdom,Come
1999,Convergence Justice League International,2,2015,Ice,,DC,1,null,null
2000,Convergence Justice League International,2,2015,Martian Manhunter,,DC,1,null,null
2001,Convergence Justice League International,2,2015,Obsidian,Kingdom Come,DC,1,Kingdom,Come
2002,Convergence Justice League International,2,2015,Red Tornado,Android,DC,1,,Android
2003,Convergence Justice League International,2,2015,Wonder Woman,Kingdom Come,DC,1,Kingdom,Come
2004,Convergence Justice League International,2,2015,Batman,,DC,1,null,null
2005,Convergence Justice League International,2,2015,Flash,Teri Magnus,DC,1,Teri,Magnus
2006,Convergence Justice League International,2,2015,Superman,,DC,1,null,null
2007,Convergence Justice League International,2,2015,Wonder Woman,,DC,1,null,null
2008,Wonder Woman,37,2011,Superman,,DC,1,null,null
2009,Wonder Woman,37,2011,Donna Troy,,DC,1,null,null
2010,Wonder Woman,37,2011,Wonder Woman,,DC,1,null,null
2011,Injustice: Gods Among Us: Year Five,18,2016,Batman,,DC,1,null,null
2012,Injustice: Gods Among Us: Year Five,18,2016,Cyborg,,DC,1,null,null
2013,Injustice: Gods Among Us: Year Five,18,2016,Deathstroke,,DC,1,null,null
2014,Injustice: Gods Among Us: Year Five,18,2016,Green Lantern,,DC,1,null,null
2015,Injustice: Gods Among Us: Year Five,18,2016,Lex Luthor,,DC,1,null,null
2016,Injustice: Gods Among Us: Year Five,18,2016,Metamorpho,,DC,1,null,null
2017,Injustice: Gods Among Us: Year Five,18,2016,Raven,,DC,1,null,null
2018,Injustice: Gods Among Us: Year Five,18,2016,Robin,,DC,1,null,null
2019,Injustice: Gods Among Us: Year Five,18,2016,Sinestro,,DC,1,null,null
2020,DC Retroactive: Flash - The '90s,1,2011,Black Flash,Entity,DC,1,,Entity
2021,DC Retroactive: Flash - The '90s,1,2011,Flash,Jay Garrick,DC,1,Jay,Garrick
2022,DC Retroactive: Flash - The '90s,1,2011,Flash,Wally West,DC,1,Wally,West
2023,DC Retroactive: Flash - The '90s,1,2011,Impulse,Bart Allen,DC,1,Bart,Allen
2024,DC Retroactive: Flash - The '90s,1,2011,Jesse Quick,,DC,1,null,null
2025,DC Retroactive: Flash - The '90s,1,2011,Max Mercury,,DC,1,null,null
2026,DC Retroactive: Flash - The '90s,1,2011,Linda Jasmine Park-West,,DC,1,null,null
2027,DC Retroactive: Flash - The '90s,1,2011,Weather Wizard,,DC,1,null,null
2028,DC Retroactive: Flash - The '90s,1,2011,Iris Ann Russell West-Allen,,DC,1,null,null
2029,DC Retroactive: Flash - The '90s,1,2011,Flash,Jay Garrick,DC,1,Jay,Garrick
2030,DC Retroactive: Flash - The '90s,1,2011,Flash,Wally West,DC,1,Wally,West
2031,DC Retroactive: Flash - The '90s,1,2011,Impulse,Bart Allen,DC,1,Bart,Allen
2032,DC Retroactive: Flash - The '90s,1,2011,Max Mercury,,DC,1,null,null
2033,DC Retroactive: Flash - The '90s,1,2011,Linda Jasmine Park-West,,DC,1,null,null
2034,DC Retroactive: Flash - The '90s,1,2011,Black Flash,Entity,DC,1,,Entity
2035,DC Retroactive: Flash - The '90s,1,2011,Flash,Jay Garrick,DC,1,Jay,Garrick
2036,DC Retroactive: Flash - The '90s,1,2011,Flash,Wally West,DC,1,Wally,West
2037,DC Retroactive: Flash - The '90s,1,2011,Impulse,Bart Allen,DC,1,Bart,Allen
2038,DC Retroactive: Flash - The '90s,1,2011,Jesse Quick,,DC,1,null,null
2039,DC Retroactive: Flash - The '90s,1,2011,Max Mercury,,DC,1,null,null
2040,DC Retroactive: Flash - The '90s,1,2011,Linda Jasmine Park-West,,DC,1,null,null
2041,DC Retroactive: Flash - The '90s,1,2011,Weather Wizard,,DC,1,null,null
2042,DC Retroactive: Flash - The '90s,1,2011,Iris Ann Russell West-Allen,,DC,1,null,null
2043,Justice League of America,6,2013,Aquaman,,DC,1,null,null
2044,Justice League of America,6,2013,Atom,,DC,1,null,null
2045,Justice League of America,6,2013,Batman,Wayne,DC,1,,Wayne
2046,Justice League of America,6,2013,Jonathan 'John' Constantine,,DC,1,null,null
2047,Justice League of America,6,2013,Cyborg,,DC,1,null,null
2048,Justice League of America,6,2013,Deadman,,DC,1,null,null
2049,Justice League of America,6,2013,Doctor Light,,DC,1,null,null
2050,Justice League of America,6,2013,Firestorm,,DC,1,null,null
2051,Justice League of America,6,2013,Flash,,DC,1,null,null
2052,Justice League of America,6,2013,Green Arrow,O. Queen,DC,1,O.,Queen
2053,Justice League of America,6,2013,Green Lantern,Baz,DC,1,,Baz
2054,Justice League of America,6,2013,Hawkman,,DC,1,null,null
2055,Justice League of America,6,2013,Hephaestus,,DC,1,null,null
2056,Justice League of America,6,2013,Katana,,DC,1,null,null
2057,Justice League of America,6,2013,Martian Manhunter,,DC,1,null,null
2058,Justice League of America,6,2013,Shazam,,DC,1,null,null
2059,Justice League of America,6,2013,Stargirl,,DC,1,null,null
2060,Justice League of America,6,2013,Superman,,DC,1,null,null
2061,Justice League of America,6,2013,Steve Howard Trevor,,DC,1,null,null
2062,Justice League of America,6,2013,Vibe,,DC,1,null,null
2063,Justice League of America,6,2013,Amanda Waller,,DC,1,null,null
2064,Justice League of America,6,2013,Wonder Woman,,DC,1,null,null
2065,Justice League of America,6,2013,Zatanna,,DC,1,null,null
2066,Nightwing,112,1996,Deathstroke the Terminator,,DC,1,null,null
2067,Nightwing,112,1996,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
2068,Nightwing,112,1996,Nightwing,Dick Grayson,DC,1,Dick,Grayson
2069,Justice League of America,41,2006,Animal Man,,DC,1,null,null
2070,Justice League of America,41,2006,Batman,Dick Grayson,DC,1,Dick,Grayson
2071,Justice League of America,41,2006,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
2072,Justice League of America,41,2006,Cyborg,,DC,1,null,null
2073,Justice League of America,41,2006,Doctor Light,Kimiyo Hoshi,DC,1,Kimiyo,Hoshi
2074,Justice League of America,41,2006,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
2075,Justice League of America,41,2006,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2076,Justice League of America,41,2006,Hawkgirl,Kendra Saunders,DC,1,Kendra,Saunders
2077,Justice League of America,41,2006,Hawkman of New Earth,,DC,1,null,null
2078,Justice League of America,41,2006,Kid Flash,Bart Allen,DC,1,Bart,Allen
2079,Justice League of America,41,2006,Red Arrow,,DC,1,null,null
2080,Justice League of America,41,2006,Red Tornado,Android,DC,1,,Android
2081,Justice League of America,41,2006,Robin,Damian Wayne,DC,1,Damian,Wayne
2082,Justice League of America,41,2006,Starfire,Koriand'r,DC,1,,Koriand'r
2083,Justice League of America,41,2006,Superboy,Conner Kent,DC,1,Conner,Kent
2084,Justice League of America,41,2006,Superman,Clark Kent,DC,1,Clark,Kent
2085,Justice League of America,41,2006,Donna Troy,,DC,1,null,null
2086,Justice League of America,41,2006,Vixen,,DC,1,null,null
2087,Justice League of America,41,2006,Wildcat,Tomahawk's Rangers,DC,1,Tomahawk's,Rangers
2088,Justice League of America,41,2006,Wonder Woman,Diana,DC,1,,Diana
2089,Justice League of America,41,2006,Zatanna,,DC,1,null,null
2090,Green Lantern Corps,None,2006,Apros,,DC,1,null,null
2091,Green Lantern Corps,None,2006,Arisia,,DC,1,null,null
2092,Green Lantern Corps,None,2006,Brik,,DC,1,null,null
2093,Green Lantern Corps,None,2006,Fatality,,DC,1,null,null
2094,Green Lantern Corps,None,2006,Green Lantern,Guy Gardner,DC,1,Guy,Gardner
2095,Green Lantern Corps,None,2006,Green Lantern,Kyle Rayner,DC,1,Kyle,Rayner
2096,Green Lantern Corps,None,2006,Ice,,DC,1,null,null
2097,Green Lantern Corps,None,2006,Kilowog,,DC,1,null,null
2098,Green Lantern Corps,None,2006,Morro,,DC,1,null,null
2099,Green Lantern Corps,None,2006,Soranik Natu,,DC,1,null,null
2100,Green Lantern Corps,None,2006,Salaak,,DC,1,null,null
2101,Green Lantern Corps,None,2006,Sinestro,,DC,1,null,null
2102,Green Lantern Corps,None,2006,Slushh,,DC,1,null,null
2103,Green Lantern Corps,None,2006,Tomar-Tu,,DC,1,null,null
2104,Green Lantern Corps,None,2006,Voz,,DC,1,null,null
2105,Green Lantern Corps,None,2006,Barreer Wot,,DC,1,null,null
2106,Justice League Unlimited,18,2004,Batman,,DC,1,null,null
2107,Justice League Unlimited,18,2004,Flash,Wally West,DC,1,Wally,West
2108,Justice League Unlimited,18,2004,Green Lantern,John Stewart,DC,1,John,Stewart
2109,Justice League Unlimited,18,2004,Hawkgirl,,DC,1,null,null
2110,Justice League Unlimited,18,2004,Martian Manhunter,,DC,1,null,null
2111,Justice League Unlimited,18,2004,Superman,,DC,1,null,null
2112,Justice League Unlimited,18,2004,Wonder Woman,,DC,1,null,null
2113,Green Lantern,40,1990,Carol Ferris,,DC,1,null,null
2114,Green Lantern,40,1990,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2115,Green Lantern,40,1990,Tom 'Pieface' Kalmaku,,DC,1,null,null
2116,Green Lantern,40,1990,Power Girl,,DC,1,null,null
2117,Green Lantern,40,1990,Professor Zoom,,DC,1,null,null
2118,Green Lantern: Emerald Dawn,6,1989,Carol Ferris,,DC,1,null,null
2119,Green Lantern: Emerald Dawn,6,1989,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2120,Green Lantern: Emerald Dawn,6,1989,Kilowog,,DC,1,null,null
2121,Green Lantern: Emerald Dawn,6,1989,Salaak,,DC,1,null,null
2122,Green Lantern: Emerald Dawn,6,1989,Sinestro,,DC,1,null,null
2123,Green Lantern: Emerald Dawn,6,1989,Tomar-Re,,DC,1,null,null
2124,Green Lantern: New Guardians,7,2011,Arkillo,,DC,1,null,null
2125,Green Lantern: New Guardians,7,2011,Bleez,,DC,1,null,null
2126,Green Lantern: New Guardians,7,2011,Fatality,,DC,1,null,null
2127,Green Lantern: New Guardians,7,2011,Green Lantern,Rayner,DC,1,,Rayner
2128,Green Lantern: New Guardians,7,2011,Larfleeze,,DC,1,null,null
2129,Green Lantern: New Guardians,7,2011,Munk,,DC,1,null,null
2130,Green Lantern: New Guardians,7,2011,Saint Walker,,DC,1,null,null
2131,Green Lantern: New Guardians,7,2011,Sayd,,DC,1,null,null
2132,Justice League 3000,6,2014,Batman,,DC,1,null,null
2133,Justice League 3000,6,2014,Firestorm,,DC,1,null,null
2134,Justice League 3000,6,2014,Flash,Barry Allen,DC,1,Barry,Allen
2135,Justice League 3000,6,2014,Green Lantern,,DC,1,null,null
2136,Justice League 3000,6,2014,Superman,,DC,1,null,null
2137,Justice League 3000,6,2014,Wonder Woman,,DC,1,null,null
2138,Justice League Dark,26,2011,Jonathan 'John' Constantine,,DC,1,null,null
2139,Justice League Dark,26,2011,Deadman,,DC,1,null,null
2140,Justice League Dark,26,2011,Pandora,,DC,1,null,null
2141,Justice League Dark,26,2011,Swamp Thing,,DC,1,null,null
2142,Justice League,2,2011,Batman,Wayne,DC,1,,Wayne
2143,Justice League,2,2011,Cyborg,,DC,1,null,null
2144,Justice League,2,2011,Flash,,DC,1,null,null
2145,Justice League,2,2011,Green Lantern,Jordan,DC,1,,Jordan
2146,Justice League,2,2011,David Singh,,DC,1,null,null
2147,Justice League,2,2011,Superman,,DC,1,null,null
2148,Justice League,2,2011,Steve Howard Trevor,,DC,1,null,null
2149,Justice League,2,2011,Amanda Waller,,DC,1,null,null
2150,Justice League,2,2011,Batman,Wayne,DC,1,,Wayne
2151,Justice League,2,2011,Superman,,DC,1,null,null
2152,Green Arrow,41,2011,Green Arrow,O. Queen,DC,1,O.,Queen
2153,Justice League of America,121,1960,Aquaman,,DC,1,null,null
2154,Justice League of America,121,1960,Atom,Ray Palmer,DC,1,Ray,Palmer
2155,Justice League of America,121,1960,Batman,,DC,1,null,null
2156,Justice League of America,121,1960,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
2157,Justice League of America,121,1960,Elongated Man,,DC,1,null,null
2158,Justice League of America,121,1960,Flash,Barry Allen,DC,1,Barry,Allen
2159,Justice League of America,121,1960,Green Arrow,,DC,1,null,null
2160,Justice League of America,121,1960,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2161,Justice League of America,121,1960,Hawkgirl,,DC,1,null,null
2162,Justice League of America,121,1960,Hawkman,,DC,1,null,null
2163,Justice League of America,121,1960,Red Tornado,Android,DC,1,,Android
2164,Justice League of America,121,1960,Adam Strange,,DC,1,null,null
2165,Justice League of America,121,1960,Superman,,DC,1,null,null
2166,The Flash,125,1987,Captain Boomerang,George Harkness,DC,1,George,Harkness
2167,The Flash,125,1987,Captain Cold,,DC,1,null,null
2168,The Flash,125,1987,Flash,Wally West,DC,1,Wally,West
2169,The Flash,125,1987,Heatwave,,DC,1,null,null
2170,The Flash,125,1987,Mirror Master,Evan McCullough,DC,1,Evan,McCullough
2171,The Flash,125,1987,Linda Jasmine Park-West,,DC,1,null,null
2172,The Flash,125,1987,Weather Wizard,,DC,1,null,null
2173,Green Lantern,28,2005,Atrocitus,,DC,1,null,null
2174,Green Lantern,28,2005,Boodikka,,DC,1,null,null
2175,Green Lantern,28,2005,Brik,,DC,1,null,null
2176,Green Lantern,28,2005,Chaselon,,DC,1,null,null
2177,Green Lantern,28,2005,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2178,Green Lantern,28,2005,Green Lantern,John Stewart,DC,1,John,Stewart
2179,Green Lantern,28,2005,Green Man,,DC,1,null,null
2180,Green Lantern,28,2005,Hannu,,DC,1,null,null
2181,Green Lantern,28,2005,Katma-Tui,,DC,1,null,null
2182,Green Lantern,28,2005,Kilowog,,DC,1,null,null
2183,Green Lantern,28,2005,Salaak,,DC,1,null,null
2184,Green Lantern,28,2005,Sinestro,,DC,1,null,null
2185,Green Lantern,28,2005,Tomar-Tu,,DC,1,null,null
2186,Green Lantern,28,2005,Graf Toren,,DC,1,null,null
2187,Green Lantern,28,2005,Turytt,,DC,1,null,null
2188,The Flash,229,1959,Abra Kadabra,,DC,1,null,null
2189,The Flash,229,1959,Flash,Barry Allen,DC,1,Barry,Allen
2190,The Flash,229,1959,Weather Wizard,,DC,1,null,null
2191,The Flash,229,1959,Iris Ann Russell West,,DC,1,null,null
2192,The Flash,229,1959,Flash,Jay Garrick,DC,1,Jay,Garrick
2193,The Flash,229,1959,Flash,Barry Allen,DC,1,Barry,Allen
2194,The Flash,229,1959,Joan Garrick,,DC,1,null,null
2195,The Flash,229,1959,Iris Ann Russell West-Allen,,DC,1,null,null
2196,Aquaman,22,2003,Aquaman,,DC,1,null,null
2197,Aquaman,22,2003,Batman,,DC,1,null,null
2198,The Flash,232,1987,Flash,Wally West,DC,1,Wally,West
2199,The Flash,232,1987,Linda Jasmine Park-West,,DC,1,null,null
2200,The Flash,232,1987,Iris West,,DC,1,null,null
2201,The Flash,232,1987,Jai West,,DC,1,null,null
2202,Wonder Woman,11,2011,Artemis,Olympians,DC,1,,Olympians
2203,Wonder Woman,11,2011,Hera,,DC,1,null,null
2204,Wonder Woman,11,2011,Hermes,,DC,1,null,null
2205,Wonder Woman,11,2011,Wonder Woman,,DC,1,null,null
2206,Wonder Woman,11,2011,Zola,,DC,1,null,null
2207,Birds of Prey,51,1999,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
2208,Birds of Prey,51,1999,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
2209,Birds of Prey,51,1999,Metamorpho,Rex Mason,DC,1,Rex,Mason
2210,Birds of Prey,51,1999,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
2211,The Flash,49,2011,Captain Cold,,DC,1,null,null
2212,The Flash,49,2011,Flash,,DC,1,null,null
2213,The Flash,49,2011,Darryl Frye,,DC,1,null,null
2214,The Flash,49,2011,Golden Glider,,DC,1,null,null
2215,The Flash,49,2011,Kid Flash,Wally K West,DC,1,Wally K,West
2216,The Flash,49,2011,Mirror Master,,DC,1,null,null
2217,The Flash,49,2011,Trickster,,DC,1,null,null
2218,The Flash,49,2011,Weather Wizard,,DC,1,null,null
2219,Green Lantern,99,1960,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
2220,Green Lantern,99,1960,Carol Ferris,,DC,1,null,null
2221,Green Lantern,99,1960,Green Arrow,,DC,1,null,null
2222,Green Lantern,99,1960,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
2223,Green Lantern,99,1960,Katma-Tui,,DC,1,null,null
2224,Justice League Europe,27,1989,Blue Beetle,Ted Kord,DC,1,Ted,Kord
2225,Justice League Europe,27,1989,Blue Jay,,DC,1,null,null
2226,Justice League Europe,27,1989,Captain Atom,,DC,1,null,null
2227,Justice League Europe,27,1989,Catherine Maureen Cobert,,DC,1,null,null
2228,Justice League Europe,27,1989,Sue Dearbon Dibny,,DC,1,null,null
2229,Justice League Europe,27,1989,Elongated Man,,DC,1,null,null
2230,Justice League Europe,27,1989,Flash,Wally West,DC,1,Wally,West
2231,Justice League Europe,27,1989,Kilowog,,DC,1,null,null
2232,Justice League Europe,27,1989,L-Ron,,DC,1,null,null
2233,Justice League Europe,27,1989,Martian Manhunter,,DC,1,null,null
2234,Justice League Europe,27,1989,Metamorpho,Rex Mason,DC,1,Rex,Mason
2235,Justice League Europe,27,1989,Power Girl,,DC,1,null,null
2236,Justice League Europe,27,1989,Rocket Red #4,Dmitri Pushkin,DC,1,Dmitri,Pushkin
2237,The Flash,98,1987,Flash,Wally West,DC,1,Wally,West
2238,The Flash,98,1987,Impulse,Bart Allen,DC,1,Bart,Allen
2239,The Flash,98,1987,Jesse Quick,,DC,1,null,null
2240,The Flash,98,1987,Max Mercury,,DC,1,null,null
2241,The Flash,98,1987,Linda Jasmine Park-West,,DC,1,null,null
2242,The Flash,98,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
2243,The Flash,98,1987,Iris Ann Russell West-Allen,,DC,1,null,null
2244,Supergirl,18,1996,Supergirl,Linda Danvers,DC,1,Linda,Danvers
2245,Wonder Woman,137,1987,Circe,Wonder Woman Villain,DC,1,Wonder Woman,Villain
2246,Wonder Woman,137,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
2247,Wonder Woman,137,1987,Joan Garrick,,DC,1,null,null
2248,Wonder Woman,137,1987,Martian Manhunter,,DC,1,null,null
2249,Wonder Woman,137,1987,Wonder Girl,Cassie Sandsmark,DC,1,Cassie,Sandsmark
2250,Wonder Woman,137,1987,Wonder Woman,Diana,DC,1,,Diana
2251,Wonder Woman,137,1987,Wonder Woman,Hippolyta,DC,1,,Hippolyta
2252,The Flash,54,1987,Flash,Wally West,DC,1,Wally,West
2253,Green Lanterns,11,2016,Batman,Wayne,DC,1,,Wayne
2254,Green Lanterns,11,2016,Carol Ferris,,DC,1,null,null
2255,Green Lanterns,11,2016,Green Lantern,Jordan,DC,1,,Jordan
2256,Green Lanterns,11,2016,Green Lantern,Baz,DC,1,,Baz
2257,Green Lanterns,11,2016,Green Lantern,Cruz,DC,1,,Cruz
2258,Justice League America,None,1989,Blue Beetle,Ted Kord,DC,1,Ted,Kord
2259,Justice League America,None,1989,Captain Atom,,DC,1,null,null
2260,Justice League America,None,1989,Catherine Maureen Cobert,,DC,1,null,null
2261,Justice League America,None,1989,Sue Dearbon Dibny,,DC,1,null,null
2262,Justice League America,None,1989,Elongated Man,,DC,1,null,null
2263,Justice League America,None,1989,Fire,,DC,1,null,null
2264,Justice League America,None,1989,Flash,Wally West,DC,1,Wally,West
2265,Justice League America,None,1989,Green Lantern,Guy Gardner,DC,1,Guy,Gardner
2266,Justice League America,None,1989,"Maxwell 'Max' Lord, IV",,DC,1,null,null
2267,Justice League America,None,1989,Martian Manhunter,,DC,1,null,null
2268,Justice League America,None,1989,Metamorpho,Rex Mason,DC,1,Rex,Mason
2269,Justice League America,None,1989,Oberon,,DC,1,null,null
2270,Justice League America,None,1989,Power Girl,,DC,1,null,null
2271,Aquaman: Sword of Atlantis,54,2006,Aquaman,,DC,1,null,null
2272,Aquaman: Sword of Atlantis,54,2006,Tempest,Garth,DC,1,,Garth
2273,Batgirl & the Birds of Prey: Rebirth,1,2016,Batgirl,,DC,1,null,null
2274,Batgirl & the Birds of Prey: Rebirth,1,2016,Batman,Wayne,DC,1,,Wayne
2275,Batgirl & the Birds of Prey: Rebirth,1,2016,Black Canary,,DC,1,null,null
2276,Batgirl & the Birds of Prey: Rebirth,1,2016,James Worthington Gordon,,DC,1,null,null
2277,Batgirl & the Birds of Prey: Rebirth,1,2016,Huntress,Bertinelli,DC,1,,Bertinelli
2278,Batgirl & the Birds of Prey: Rebirth,1,2016,Joker,,DC,1,null,null
2279,Batgirl & the Birds of Prey: Rebirth,1,2016,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
2280,Batgirl & the Birds of Prey: Rebirth,1,2016,Oracle,Gus Yale,DC,1,Gus,Yale
2281,Batgirl & the Birds of Prey: Rebirth,1,2016,Robin,,DC,1,null,null
2282,Wonder Woman,160,1987,Wonder Woman,Diana,DC,1,,Diana
2283,Aquaman,53,1962,Aqualad,Garth,DC,1,,Garth
